iter	MAE
0	2876.338991
1	2146.804474
2	1844.520781
3	1758.697116
4	1681.196763
5	1605.926176
6	1561.611941
7	1531.407945
8	1511.954843
9	1486.627582
10	1476.166397
11	1453.927963
12	1447.095008
13	1436.880353
14	1425.720756
15	1415.591684
16	1393.513672
17	1369.186029
18	1358.206089
19	1350.649827
20	1343.443785
21	1336.76888
22	1330.497299
23	1324.846471
24	1321.021887
25	1304.173242
26	1297.027008
27	1294.122519
28	1288.742415
29	1276.900842
30	1271.82492
31	1266.616763
32	1262.383607
33	1260.266631
34	1258.023731
35	1254.50673
36	1250.497683
37	1246.044613
38	1242.471425
39	1240.478987
40	1235.843047
41	1232.121211
42	1229.800547
43	1225.475367
44	1223.511224
45	1221.182866
46	1220.094447
47	1214.143498
48	1208.856278
49	1205.495574
50	1203.471424
51	1199.871383
52	1196.373047
53	1194.140563
54	1189.922354
55	1188.231462
56	1187.017351
57	1184.80251
58	1181.645948
59	1179.800194
60	1178.876314
61	1176.536093
62	1174.562021
63	1169.658177
64	1167.597714
65	1164.720118
66	1161.870611
67	1160.241412
68	1159.482089
69	1157.615854
70	1155.524693
71	1153.736853
72	1151.458887
73	1150.474229
74	1149.455677
75	1147.686291
76	1146.710726
77	1145.305074
78	1143.946671
79	1141.765378
80	1139.477708
81	1133.735201
82	1131.980142
83	1129.838278
84	1128.740167
85	1127.504418
86	1126.262219
87	1122.96147
88	1120.771485
89	1119.916966
90	1118.774247
91	1116.754728
92	1115.731496
93	1113.993647
94	1113.138653
95	1112.351599
96	1111.270088
97	1109.864781
98	1107.67488
99	1107.16761
