iter	Passed	Remaining
0	276	27378
1	396	19426
2	540	17484
3	665	15971
4	786	14936
5	909	14246
6	1032	13719
7	1150	13225
8	1276	12905
9	1404	12637
10	1531	12389
11	1664	12209
12	1792	11997
13	1912	11750
14	2035	11532
15	2160	11344
16	2295	11205
17	2416	11009
18	2545	10852
19	2667	10671
20	2784	10474
21	2911	10322
22	3040	10180
23	3169	10037
24	3292	9876
25	3411	9710
26	3532	9550
27	3651	9388
28	3770	9231
29	3888	9073
30	4006	8918
31	4131	8779
32	4256	8642
33	4385	8512
34	4501	8359
35	4630	8232
36	4747	8083
37	4873	7951
38	5020	7852
39	5141	7712
40	5260	7570
41	5381	7431
42	5511	7306
43	5638	7176
44	5755	7034
45	5880	6902
46	6000	6766
47	6121	6631
48	6236	6491
49	6357	6357
50	6476	6222
51	6601	6093
52	6721	5960
53	6840	5826
54	6959	5694
55	7094	5574
56	7232	5456
57	7375	5340
58	7497	5210
59	7626	5084
60	7749	4954
61	7870	4824
62	7993	4694
63	8115	4564
64	8233	4433
65	8352	4302
66	8477	4175
67	8603	4048
68	8731	3922
69	8854	3794
70	8978	3667
71	9106	3541
72	9241	3417
73	9361	3289
74	9481	3160
75	9614	3036
76	9739	2909
77	9874	2785
78	10011	2661
79	10141	2535
80	10272	2409
81	10394	2281
82	10519	2154
83	10640	2026
84	10766	1899
85	10902	1774
86	11023	1647
87	11145	1519
88	11266	1392
89	11393	1265
90	11518	1139
91	11644	1012
92	11766	885
93	11888	758
94	12005	631
95	12133	505
96	12264	379
97	12393	252
98	12522	126
99	12641	0
